"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Event #","FITC-A","PE-A","(Event #%8) - 0.5 + (Event #/(89159 + 1))","Time"
15543.7,56533.1,18019,8321.76,67139.6,8123,11977,765.36,18.75,-0.36568,2.15647
11182.1,61013.1,12011,9278.64,71928.7,8454,11993,1000.08,21.75,-0.3655,2.1588
20893.4,57544.5,23795,9433.44,66369.3,9315,12009,1395.36,35.25,-0.365321,2.16113
10425.6,55862.3,12231,6768,70460.3,6295,12025,650.16,12.75,-0.365141,2.16229
14696.3,53656.7,17950,4398.48,64071.7,4499,12033,588.96,7.5,-0.365052,2.16346
13837.4,54642.7,16596,9000,67578.4,8728,12049,745.92,9.75,-0.364872,2.16579
10767.4,60685.4,11628,8815.68,72544.5,7964,12081,648.72,12,-0.364513,2.16928
18236.8,56972.4,20978,8722.08,64823.1,8818,12089,408.24,57.75,-0.364424,2.17044
8083.2,52747.2,10043,6117.12,68575.4,5846,12105,714.24,25.5,-0.364244,2.1716
18170.9,63708.9,18692,12189.6,73269.5,10903,12121,1329.12,20.25,-0.364065,2.1751
11228.8,57821.2,12727,7600.32,69692.8,7147,12161,925.92,4.5,-0.363616,2.18091
8088.32,47613.1,11133,4078.8,63872.9,4185,12169,488.88,-9,-0.363526,2.18208
9205.76,50347,11983,5978.88,64840.6,6043,12185,593.28,18,-0.363347,2.18324
15440,63897.2,15836,12397,71644.4,11340,12217,1373.04,9.75,-0.362988,2.18906
8188.16,47320.9,11340,3623.04,62964.6,3771,12225,586.8,42.75,-0.362898,2.19022
11655,52320.3,14599,6219.36,67005.1,6083,12233,492.48,24,-0.362808,2.19139
9815.68,56255.4,11435,6532.56,70344.7,6086,12241,650.16,2.25,-0.362719,2.19255
18618.9,68973.3,17691,14522.4,72596.5,13110,12265,2334.96,32.25,-0.36245,2.19488
14077.4,60240.2,15315,9467.28,70577.6,8791,12281,966.96,21.75,-0.36227,2.19721
9662.08,57486.5,11015,6636.96,69716.3,6239,12289,989.28,11.25,-0.36218,2.19837
7491.84,46253.9,10615,3314.88,63318,3431,12297,419.76,-1.5,-0.362091,2.2007
11957.1,52666.3,14879,8606.88,66879.4,8434,12313,615.6,31.5,-0.361911,2.20186
9265.92,50045.4,12134,4009.68,64438.1,4078,12329,492.48,13.5,-0.361732,2.20535
8840.32,49897.4,11611,5688,65010.2,5734,12337,722.16,5.25,-0.361642,2.20652
7671.04,51325.1,9795,5590.08,69608.9,5263,12345,848.16,-27.75,-0.361552,2.20652
7312.64,46393.1,10330,3173.04,63263.9,3287,12353,326.88,-4.5,-0.361463,2.20768
10449.3,53727,12746,7597.44,68478.3,7271,12393,886.32,2.25,-0.361014,2.2135
25699.2,70369.5,23934,20846.9,75871.7,18007,12401,2404.08,24.75,-0.360924,2.21466
14032,55301.1,16629,7529.76,64649.6,7633,12425,583.2,36,-0.360655,2.21932
13389.4,55710.1,15751,9651.6,67240.1,9407,12449,753.12,31.5,-0.360386,2.22165
10240,51122.8,13127,5542.56,65911.3,5511,12457,816.48,30.75,-0.360296,2.22397
14453.1,58755.6,16121,9246.24,71779.4,8442,12481,892.08,30,-0.360027,2.22746
9553.92,56240.5,11133,6100.56,71483.3,5593,12497,867.6,3,-0.359847,2.22863
17800.3,57078.1,20438,9876.24,64686.1,10006,12537,767.52,0,-0.359399,2.23445
14169,54864.2,16925,7205.04,64736.7,7294,12553,648,-17.25,-0.359219,2.23678
16166.4,55540,19076,7805.52,64531.7,7927,12569,730.08,15.75,-0.35904,2.23794
13671.7,61529.1,14562,10154.2,71020.6,9370,12577,773.28,51,-0.35895,2.2391
13408,96869.9,9071,7705.44,105161,4802,12593,550.08,15.75,-0.358771,2.24259
13447.7,54715.8,16107,6441.84,63984.9,6598,12601,612.72,3.75,-0.358681,2.24376
9604.48,57378.2,10970,7609.68,70171.4,7107,12609,977.76,-0.75,-0.358591,2.24492
16562.6,57125.6,19001,7832.16,64572.7,7949,12617,582.48,19.5,-0.358502,2.24492
10038.4,51569.9,12757,4651.92,64358.9,4737,12625,390.96,9,-0.358412,2.24725
12289.9,60517.9,13309,8878.32,70535.8,8249,12633,515.52,20.25,-0.358322,2.24841
15892.5,57274.1,18185,9146.16,64632.6,9274,12641,794.88,31.5,-0.358232,2.24958
