,x,y,color,trajectory
4626,6,9.478874391830969,3,660
4627,0,9.033693603863576,0,661
4628,1,9.459507236544402,0,661
4629,2,9.256017732200744,0,661
4630,3,9.24251524821375,0,661
4631,4,9.312046140001916,0,661
4632,5,9.3002676868754,0,661
4633,6,9.478874391830969,0,661
4634,0,9.033693603863576,4,662
4635,1,9.033693603863576,4,662
4636,2,8.790070194188049,4,662
4637,3,8.693196090897846,4,662
4638,4,7.459697387458308,4,662
4639,5,9.48681386627281,4,662
4640,6,9.478874391830969,4,662
4641,0,9.033693603863576,1,663
4642,1,8.037671397075762,1,663
4643,2,9.427354640428982,1,663
4644,3,9.073902560624148,1,663
4645,4,9.310450303492658,1,663
4646,5,9.458277560341848,1,663
4647,6,9.478874391830969,1,663
4648,0,9.033693603863576,2,664
4649,1,9.033693603863576,2,664
4650,2,8.629864956933735,2,664
4651,3,9.591800834529227,2,664
4652,4,9.69478924254758,2,664
4653,5,9.22163159880928,2,664
4654,6,9.478874391830969,2,664
4655,0,9.033693603863576,5,665
4656,1,9.066813271835995,5,665
4657,2,8.340028345002505,5,665
4658,3,8.14292812661647,5,665
4659,4,7.884228647545062,5,665
4660,5,7.143339077606502,5,665
4661,6,9.478874391830969,5,665
4662,0,9.033693603863576,5,666
4663,1,9.033693603863576,5,666
4664,2,7.575912340115647,5,666
4665,3,7.7858864780004415,5,666
4666,4,7.44880238849439,5,666
4667,5,7.159919870420538,5,666
4668,6,9.478874391830969,5,666
4669,0,9.033693603863576,0,667
4670,1,9.575428996624105,0,667
4671,2,9.54427885712342,0,667
4672,3,9.7336141493237,0,667
4673,4,9.64070425272816,0,667
4674,5,9.825067323777963,0,667
4675,6,9.478874391830969,0,667
4676,0,9.033693603863576,4,668
4677,1,9.033693603863576,4,668
4678,2,8.466765157217848,4,668
4679,3,7.817397456160229,4,668
4680,4,7.073786221772948,4,668
4681,5,9.346405044072483,4,668
4682,6,9.478874391830969,4,668
4683,0,9.033693603863576,0,669
4684,1,9.614118426508185,0,669
4685,2,9.3735865387477,0,669
4686,3,9.362038528186051,0,669
4687,4,9.174265934379571,0,669
4688,5,9.22163159880928,0,669
4689,6,9.478874391830969,0,669
4690,0,9.033693603863576,5,670
4691,1,9.033693603863576,5,670
4692,2,8.805342947292127,5,670
4693,3,8.365026649774139,5,670
4694,4,8.276926171210748,5,670
4695,5,8.325704304955872,5,670
4696,6,9.478874391830969,5,670
4697,0,9.033693603863576,5,671
4698,1,9.033693603863576,5,671
4699,2,9.048348259347378,5,671
4700,3,8.46902489358809,5,671
4701,4,7.360025984717333,5,671
4702,5,7.6362250635097935,5,671
4703,6,9.478874391830969,5,671
4704,0,9.033693603863576,1,672
4705,1,8.150095346987698,1,672
4706,2,9.47587526144982,1,672
4707,3,9.475053280383044,1,672
4708,4,9.311516514576487,1,672
4709,5,9.37482908511796,1,672
4710,6,9.478874391830969,1,672
4711,0,9.033693603863576,0,673
4712,1,9.521699342581394,0,673
4713,2,9.486389111307114,0,673
4714,3,9.474410111552077,0,673
4715,4,9.548057362324776,0,673
4716,5,9.435340947303397,0,673
4717,6,9.478874391830969,0,673
4718,0,9.033693603863576,2,674
4719,1,9.033693603863576,2,674
4720,2,8.795298949807188,2,674
4721,3,9.522307043060245,2,674
4722,4,9.385212186004924,2,674
4723,5,9.22163159880928,2,674
4724,6,9.478874391830969,2,674
4725,0,9.033693603863576,0,675
4726,1,9.464776158760849,0,675
4727,2,9.700862009770672,0,675
4728,3,9.464152704664818,0,675
4729,4,9.631405643008453,0,675
4730,5,9.5062854087942,0,675
4731,6,9.478874391830969,0,675
4732,0,9.033693603863576,3,676
4733,1,9.033693603863576,3,676
4734,2,8.167713363783703,3,676
4735,3,8.101109920125982,3,676
4736,4,9.452240904932358,3,676
4737,5,9.28188055143932,3,676
4738,6,9.478874391830969,3,676
4739,0,9.033693603863576,2,677
4740,1,8.99356388467631,2,677
4741,2,8.570347868824287,2,677
4742,3,9.665202097589614,2,677
4743,4,9.238525899613396,2,677
4744,5,9.48681386627281,2,677
4745,6,9.478874391830969,2,677
4746,0,9.033693603863576,4,678
4747,1,8.640493996256348,4,678
4748,2,8.570870306016653,4,678
4749,3,8.663393386845906,4,678
4750,4,8.310351224003314,4,678
4751,5,9.48681386627281,4,678
4752,6,9.478874391830969,4,678
4753,0,9.033693603863576,3,679
4754,1,9.06357388645011,3,679
4755,2,7.872447730177306,3,679
4756,3,7.528276580716337,3,679
4757,4,9.616311589006614,3,679
4758,5,9.581553926489349,3,679
4759,6,9.478874391830969,3,679
4760,0,9.033693603863576,1,680
4761,1,9.033693603863576,1,680
4762,2,9.36861794976562,1,680
4763,3,9.356524695824676,1,680
4764,4,9.249969102204082,1,680
4765,5,8.84390939740718,1,680
4766,6,9.478874391830969,1,680
4767,0,9.033693603863576,4,681
4768,1,9.033693603863576,4,681
